episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
34,Everyone's Gathered! Usopp Speaks the Truth About Nami!,4.3,https://myanimelist.net/forum/?topicid=122721,"({'positive': 74.0, 'neutral': 10.0, 'negative': 16.0}, 50)",0.825,0.58,3.9318256327243257,1.7775857992146131
35,Untold Past! Female Warrior Bellemere!,4.4,https://myanimelist.net/forum/?topicid=122733,"({'positive': 50.877192982456144, 'neutral': 14.035087719298245, 'negative': 35.08771929824561}, 57)",0.8500000000000001,0.15789473684210534,4.060443010546419,1.7114808866507842
36,Survive! Mother Bellemere and Nami's Bond!,4.6,https://myanimelist.net/forum/?topicid=122737,"({'positive': 45.588235294117645, 'neutral': 7.352941176470589, 'negative': 47.05882352941176}, 68)",0.8999999999999999,-0.014705882352941159,4.23410650459726,1.707720377223776
37,Luffy Rises! Result of the Broken Promise!,4.7,https://myanimelist.net/forum/?topicid=104408,"({'positive': 64.44444444444444, 'neutral': 12.222222222222221, 'negative': 23.333333333333332}, 90)",0.925,0.41111111111111115,4.51085950651685,1.8886727487129342
38,Luffy in Big Trouble! Fishmen vs. the Luffy Pirates!,4.3,https://myanimelist.net/forum/?topicid=122743,"({'positive': 66.0, 'neutral': 6.0, 'negative': 28.000000000000004}, 50)",0.825,0.38,3.9318256327243257,1.756374595359315
39,Luffy Submerged! Zoro vs. Hatchan the Octopus!,4.4,https://myanimelist.net/forum/?topicid=122749,"({'positive': 69.0909090909091, 'neutral': 5.454545454545454, 'negative': 25.454545454545453}, 55)",0.8500000000000001,0.4363636363636364,4.02535169073515,1.7670224806145254
40,Proud Warriors! Sanji and Usopp's Fierce Battles!,4.4,https://myanimelist.net/forum/?topicid=75324,"({'positive': 62.295081967213115, 'neutral': 16.39344262295082, 'negative': 21.311475409836063}, 61)",0.8500000000000001,0.4098360655737705,4.127134385045092,1.788498232808347
41,Luffy at Full Power! Nami's Determination and the Straw Hat!,4.4,https://myanimelist.net/forum/?topicid=124651,"({'positive': 64.1025641025641, 'neutral': 15.384615384615385, 'negative': 20.51282051282051}, 39)",0.8500000000000001,0.4358974358974359,3.6888794541139363,1.6908187807049297
42,Explosion! Fishman Arlong's Fierce Assault From the Sea!,4.4,https://myanimelist.net/forum/?topicid=124652,"({'positive': 40.816326530612244, 'neutral': 18.367346938775512, 'negative': 40.816326530612244}, 49)",0.8500000000000001,0.0,3.912023005428146,1.613210446533269
43,End of the Fishman Empire! Nami's My Friend!,4.5,https://myanimelist.net/forum/?topicid=104900,"({'positive': 71.83098591549296, 'neutral': 15.492957746478872, 'negative': 12.676056338028168}, 71)",0.875,0.5915492957746479,4.276666119016055,1.839106465330993
